episode,regret
0,146.1347013705075
1,223.5144918657292
2,102.10388994088844
3,41.63738137072263
4,60.84430275253689
5,95.2140990171896
6,55.91861433946063
7,110.22686336593505
8,25.26509534368816
9,181.74709990425308
10,350.19910721333963
11,134.0190736450554
12,27.47948293990224
13,111.21724917581015
14,66.35849212675546
15,297.3331283737225
16,199.4127912737048
17,25.00364824901332
18,156.6271218423504
19,153.00694732093808
20,159.7899565839635
21,55.609990916386174
22,93.93746002313628
23,32.482905244264494
24,37.84242465824326
25,67.91054053577056
26,42.60483762644657
27,52.75402981223368
28,54.134605083021725
29,33.547035853686666
30,19.782181944593816
31,46.504048402997086
32,136.5578789631811
33,95.01510854146372
34,60.12015948290927
35,68.34687726225327
36,83.40478997409929
37,47.863006394427146
38,20.820387463445435
39,172.550931647471
40,241.11615301797
41,117.65565521869014
42,62.79394940299181
43,53.52868243677226
44,258.75096440616943
45,53.32859459641477
46,50.29892239235112
47,62.06386060774375
48,1684.2623789660329
49,172.01360032087305
50,87.80241054404708
51,63.91249741743745
52,523.5606361388324
53,309.84855560369243
54,58.21062221030611
55,1079.381273238731
56,128.93750710095884
57,259.579963686745
58,96.43238756679624
59,192.06183066719515
60,964.301536368384
61,1038.4164410912872
62,84.49311680602845
63,83.42844407486719
64,412.8201250516895
65,1014.4961966639404
66,821.2661599475963
67,1320.1107354129413
68,130.43837133662203
69,3099.0169941070126
70,1739.8173676960575
71,1270.733166652708
72,177.78198419838532
73,3039.9653434307443
74,4606.288935334941
75,625.075602788584
76,3077.6369335858367
77,69.29142829274616
78,413.8526716576772
79,5568.652475525364
80,9136.829112755238
81,2182.155597862877
82,805.446675958653
83,40.78174977628182
84,87.42086642335711
85,2001.348462795858
86,3614.018018236581
87,3530.5618575903504
88,57.313051340579406
89,3677.787502588219
90,3956.401954064133
91,5955.086234342703
92,2731.691871141585
93,3271.824725017643
94,6450.014845854904
95,3666.786265426909
96,5557.611829645872
97,2492.3380853258263
98,8322.417403321997
99,2859.734453174056
100,8207.300266112048
101,6435.866664989008
102,6252.706534849711
103,4702.526182508447
104,1857.2316760283813
105,15577.440627190394
106,10694.746371029365
107,14130.026061153965
108,18936.1068913028
109,6113.591511267866
110,10331.02208253778
111,10376.34635158599
112,26997.039940141512
113,8106.88184741874
114,13168.44009015737
115,4510.04187425745
116,20825.62668318928
117,17329.26529069141
118,24437.592173192796
119,13923.279597576719
120,22663.0398986494
121,2203.8868803823298
122,5497.226125418887
123,21949.679192634216
124,8545.977224984192
125,19817.523332081284
126,2188.0675634676554
127,12087.021636116086
128,31019.498612032003
129,23596.11809111884
130,21900.44081894622
131,15342.512867349777
132,14297.966597714434
133,12581.192426326792
134,22222.79664836297
135,15229.122077907585
136,19205.665846757318
137,15918.00885321477
