episode,length
0,21
1,16
2,58
3,14
4,21
5,9
6,52
7,18
8,32
9,26
10,29
11,88
12,63
13,31
14,37
15,52
16,113
17,36
18,23
19,36
20,71
21,42
22,31
23,41
24,49
25,25
26,32
27,53
28,81
29,28
30,37
31,57
32,34
33,73
34,64
35,86
36,119
37,64
38,83
39,81
40,141
41,463
42,144
43,165
44,173
45,172
46,176
47,148
48,500
49,195
50,500
51,500
52,500
53,303
54,436
55,500
56,266
57,500
58,500
59,500
60,250
61,484
62,500
63,258
64,362
65,500
66,500
67,306
68,500
69,468
70,500
71,500
72,500
73,500
74,500
75,500
76,500
77,500
78,500
79,500
80,500
81,480
82,500
83,500
84,296
85,500
86,477
87,389
88,500
89,500
90,500
91,500
92,500
93,385
94,433
95,373
96,500
97,475
98,500
99,500
100,500
101,429
102,500
103,500
104,500
105,500
106,500
107,500
108,486
109,500
110,432
111,500
112,500
113,385
114,500
115,397
116,500
117,500
118,500
119,500
120,500
121,500
122,500
123,355
124,500
125,500
126,500
127,500
128,500
129,421
130,453
131,500
132,500
133,421
134,500
135,432
136,459
137,500
138,500
139,500
140,430
141,500
142,500
143,500
144,500
145,500
146,500
147,500
148,500
149,500
150,500
151,500
152,500
153,500
154,500
155,500
156,500
157,500
158,500
159,500
160,500
161,500
162,500
163,500
164,500
165,500
166,500
167,500
168,500
169,500
170,500
171,500
172,500
173,500
174,500
175,500
176,500
177,500
178,500
179,500
180,500
181,500
182,500
183,500
184,500
185,500
186,500
187,500
188,500
189,500
190,500
191,500
192,500
193,500
194,500
195,500
196,500
197,500
198,500
199,500
