episode,absolute error
0,67751.12828411521
1,68344.31074638772
2,60086.69499158765
3,88696.19485752002
4,81284.76639300483
5,79831.46429168448
6,77148.01304236127
7,73581.71541040504
8,13679.06795308518
9,75158.95259530861
10,35259.226708693765
11,2379.6622420155213
12,70798.08987304894
13,13535.217446150758
14,3685.3166921189663
15,790.1424945687846
16,5083.509520465297
17,385.95014248797537
18,4175.366472439361
19,156.80555357234846
20,30.21033924975462
21,235.2109996286632
22,850.8390041946345
23,344.71069894202594
24,336.4976810253134
25,236.08928136085524
26,411.1152777990724
27,279.6197721394944
28,293.4074215442781
29,2698.234822728903
30,784.9141470301498
31,352.53016297362376
32,301.93797609601404
33,299.1028960228516
34,485.5007678634621
35,567.9976589603411
36,467.85316655232384
37,554.6668203414994
38,670.7907413123124
39,489.9548760284511
40,663.5191052353958
41,367.1677106355317
42,921.7195358879226
43,4285.410046049675
44,761.6257670595937
45,826.8690965560568
46,1223.6615363406534
47,942.6221611255326
48,825.1662556833478
49,3928.681611927377
50,2476.911856530425
51,2355.034194508319
52,1071.1921943478587
53,1048.2760975479955
54,596.5670470349182
55,2256.3295350463377
56,1374.3390908818828
57,992.3939084644502
58,989.7330548526428
59,2842.8620506858724
60,870.2345740975513
61,1019.5995750974978
62,1112.2870568050023
63,1110.576009116145
64,866.0225902419007
65,1030.4427459277997
66,1825.4907573513528
67,1626.1383123947749
68,1007.2997403745252
69,1224.333030155386
70,1156.1476105428692
71,734.6253058705242
72,1133.5503205266589
73,1311.8216187604023
74,781.6759500768928
75,606.4364507811649
76,1053.3622420888364
77,956.822364614456
78,1216.5549875302322
79,857.092140490223
80,961.3924909390668
81,1134.9930980928582
82,1284.8756211529558
83,1059.760827430454
84,1385.867605567179
85,829.7615214354236
86,1329.9908247671017
87,1233.706426290796
88,601.6039338688292
89,2672.805743756765
90,912.865426349456
91,765.8544983092335
92,911.4197464777096
93,657.5817730463166
94,953.7052663532368
95,713.1766510766028
96,1001.406767978516
97,1466.9277545062564
98,959.8301012174028
99,970.9875894672572
100,947.8672332701572
101,953.1782660021609
102,1210.392573486237
103,1015.8838046723822
104,946.0801582126182
105,1028.903775280871
106,750.6336192605905
107,850.8129118867469
108,921.708586219592
109,1038.0519202903909
110,1251.0150296144086
111,1386.712674352712
112,1015.2009054252617
113,1031.8791624780047
114,832.5269670704585
115,1528.9547186451732
116,1889.9715735625932
117,956.0236451970567
118,1770.1360063777215
119,1102.3781244189033
